Biosample_RunID	Reads	Bases	Avg_Length
SAMEA7723946_ERR5001989	1200344	179392595	149.4509866
SAMEA7724064_ERR5004320	1211680	179899919	148.4714768
SAMEA7724225_ERR5003912	1216338	180811334	148.6522118
SAMEA7724295_ERR5002059	1219784	182111588	149.2982266
SAMEA7724314_ERR5004155	1231806	183077988	148.6256667
SAMEA7723478_ERR5004753	1246218	185304702	148.6936491
SAMEA7724295_ERR5003338	1246578	186151951	149.3303676
SAMEA7723848_ERR5001728	1247792	186787722	149.6945981
SAMEA7724381_ERR5004268	1253850	186347960	148.6206165
SAMEA7723472_ERR5001980	1254626	187923098	149.7841572
SAMEA7723659_ERR5003854	1255608	186672197	148.6707611
SAMEA7723899_ERR5001825	1271024	190328577	149.7442826
SAMEA7724064_ERR5005107	1274684	189333520	148.5336915
SAMEA7723550_ERR5005073	1274740	189411475	148.58832
SAMEA7723525_ERR5004124	1275278	188615086	147.9011525
